name	deprecated_in	replacement	note
Mid	2019r2	String.Middle	INDEX BASE CHANGED. Mid counts the first character as 1; String.Middle counts it as 0. Subtract 1 from the start argument.
InStr	2019r2	String.IndexOf	INDEX BASE AND SENTINEL CHANGED. InStr returns a one-based position and 0 when not found; IndexOf returns a zero-based position and -1 when not found. Rewrite the comparison, do not just rename.
InStrB	2019r2	String.IndexOfBytes	INDEX BASE AND SENTINEL CHANGED, as for InStr.
MidB	2019r2	String.MiddleBytes	INDEX BASE CHANGED, as for Mid.
Redim	2019r2	Array.ResizeTo	Keyword rather than a documented member, so it does not appear in the generated index.
Val	2019r2	String.ToDouble	Global function. Str, Format, Hex and CStr changed alongside it; check each separately.
Screen	2020r2	Displays	Global function returning a screen by index; replaced by the Displays array on Application.
ListBox.Headings	2021r3	DesktopListBox.HeaderAt	Bulk array property replaced by an indexed accessor; no longer settable as a whole array.
ListBox.CellToolTip	2021r3	DesktopListBox.CellToolTipAt	Listed as transitional in the API 2 notes and no longer described in the current documentation.
ListBox.CellCheckBoxValue	2021r3	DesktopListBox.CellCheckboxValueAt	Listed as transitional in the API 2 notes and no longer described in the current documentation.
ListBox.ColumnSortType	2021r3	DesktopListBox.ColumnSortTypeAt	Indexed accessor; the bulk form is gone.
